CustomerID,Recency,Frequency,Monetary,Churn,Cluster,Segment,Churn_Probability
12346.0,325,1,77183.6,1,3,At Risk,0.37863865998812773
12347.0,1,7,4310.0,0,1,Loyal Customers,0.06620076318692605
12348.0,74,4,1797.24,0,3,At Risk,0.2166798359990758
12349.0,18,1,1757.55,0,0,New Customers,0.514540817280205
12350.0,309,1,334.4,1,2,Lost,0.5171491171984488
12352.0,35,8,2506.04,0,1,Loyal Customers,0.04389778783152245
12353.0,203,1,89.0,1,2,Lost,0.5175987873268296
12354.0,231,1,1079.4,1,3,At Risk,0.5157838145890685
12355.0,213,1,459.4,1,2,Lost,0.5169200568991129
12356.0,22,3,2811.43,0,1,Loyal Customers,0.3005051489830221
12357.0,32,1,6207.67,0,3,At Risk,0.5063803292678218
12358.0,1,2,1168.06,0,0,New Customers,0.40488199192289326
12359.0,57,4,6372.58,0,1,Loyal Customers,0.21103523617796618
12360.0,51,3,2662.06,0,3,At Risk,0.3007356107827431
12361.0,286,1,189.9,1,2,Lost,0.517413901917655
12362.0,2,10,5226.23,0,4,Champions,0.01805163889056698
12363.0,109,2,552.0,1,3,At Risk,0.4059717869267076
12364.0,7,4,1313.1,0,1,Loyal Customers,0.21728346470068355
12365.0,290,2,641.38,1,3,At Risk,0.4058136181818879
12367.0,3,1,168.9,0,0,New Customers,0.5174523819315846
12370.0,50,4,3545.69,0,1,Loyal Customers,0.21450996773174896
12371.0,44,2,1887.96,0,3,At Risk,0.403609694260315
12372.0,71,3,1298.04,0,3,At Risk,0.30284479577302853
12373.0,310,1,364.6,1,2,Lost,0.5170937768867165
12374.0,24,1,742.9300000000001,0,0,New Customers,0.5164004669604921
12375.0,10,2,457.5,0,0,New Customers,0.4061390373510824
12377.0,314,2,1628.12,1,3,At Risk,0.4040687675899103
12378.0,129,1,4008.62,1,3,At Risk,0.5104135727711478
12379.0,81,2,852.24,0,3,At Risk,0.40544055333544815
12380.0,21,4,2724.81,0,1,Loyal Customers,0.2155267272440062
12381.0,4,5,1845.31,0,1,Loyal Customers,0.15018598422491541
12383.0,184,5,1850.56,1,3,At Risk,0.15018106710344753
12384.0,28,2,585.27,0,0,New Customers,0.4059129093474068
12386.0,337,2,401.9,1,2,Lost,0.4062374509520663
12388.0,15,6,2780.66,0,1,Loyal Customers,0.10086258731266232
12390.0,79,1,549.84,0,2,Lost,0.5167543227523929
12391.0,21,1,460.89,0,0,New Customers,0.5169173264572701
12393.0,71,4,1582.6000000000001,0,3,At Risk,0.21694730066689172
12394.0,63,2,1272.48,0,3,At Risk,0.40469736809152695
12395.0,18,12,3018.63,0,1,Loyal Customers,0.007573923768168157
12397.0,35,2,2409.9,0,3,At Risk,0.40268806533577106
12398.0,45,1,1635.6599999999999,0,3,At Risk,0.514764246075515
12399.0,118,4,1108.65,1,3,At Risk,0.21753873874947233
12401.0,302,1,84.3,1,2,Lost,0.517607399315054
12402.0,322,1,225.6,1,2,Lost,0.5173484854202292
12403.0,49,1,427.7,0,0,New Customers,0.5169781472677892
12405.0,148,1,1710.39,1,3,At Risk,0.5146272639666214
12406.0,21,2,3415.3,0,1,Loyal Customers,0.40091469534773627
12407.0,49,5,1708.1200000000001,0,3,At Risk,0.15031452262276468
12408.0,32,5,2888.55,0,1,Loyal Customers,0.14921149268042552
12409.0,78,3,11072.67,0,3,At Risk,0.2879178227143438
12410.0,308,2,693.3299999999999,1,3,At Risk,0.40572169533723645
12412.0,74,3,1226.88,0,3,At Risk,0.3029550599462428
12413.0,66,3,758.1,0,3,At Risk,0.303682012919576
12414.0,216,3,562.41,1,3,At Risk,0.30398576683828643
12415.0,23,21,124914.53,0,4,Champions,5.550426883691402e-05
12417.0,2,9,3649.1,0,4,Champions,0.028275987781346497
12418.0,112,1,668.58,1,2,Lost,0.5165367223743084
12420.0,63,1,600.39,0,3,At Risk,0.5166616866781141
12421.0,15,4,807.04,0,1,Loyal Customers,0.2179157209127741
12422.0,95,3,803.5600000000001,1,3,At Risk,0.3036114735034716
12423.0,0,8,1859.31,0,1,Loyal Customers,0.0440974126151951
12424.0,162,2,1760.96,1,3,At Risk,0.4038340509699547
12425.0,77,1,777.2,0,3,At Risk,0.5163376621969916
12426.0,194,1,582.73,1,2,Lost,0.516694049876278
12427.0,21,3,825.8,0,0,New Customers,0.30357696748575863
12428.0,25,9,7956.46,0,1,Loyal Customers,0.027420305485878697
12429.0,8,4,3750.4,0,1,Loyal Customers,0.2142569534100026
12430.0,42,1,256.4,0,0,New Customers,0.5172920471798474
12431.0,35,15,6487.45,0,4,Champions,0.00193848904772441
12432.0,42,5,5059.32,0,1,Loyal Customers,0.14720049004891336
12433.0,0,7,13375.87,0,4,Champions,0.06220483127530996
12434.0,84,2,806.14,0,3,At Risk,0.40552210662361143
12435.0,79,2,7829.89,0,3,At Risk,0.3931592721536977
12436.0,99,1,509.01,1,2,Lost,0.516829145471141
12437.0,1,18,4951.41,0,4,Champions,0.0005125277743097154
12438.0,13,2,2906.85,0,1,Loyal Customers,0.4018112012942148
12441.0,366,1,173.55,1,2,Lost,0.5174438613748976
12442.0,2,1,172.06,0,0,New Customers,0.5174465916188977
